Priority,Action,Files
P0,Adopt /ck-* command protocol,apps/cli/src/index.ts; README.md; docs/QUICKSTART.md; docs/FIRST_RUN_TUTORIAL.md; docs/INSTALL_IN_10_MINUTES.md; FAQ.md
P0,Replace safe|balanced|god with turbo|builder|pro|expert,packages/shared/src/*; packages/orchestrator/src/mode-controller.ts; apps/cli/src/index.ts; config/profiles/*; README.md; ROADMAP.md; docs/ARCHITECTURE.md
P0,Align claims with shipped public functionality,README.md; LAUNCH.md; ANNOUNCEMENT.md; RELEASE_NOTES_v1.0.3.md; docs/FEATURE_MATRIX.md
P1,Move public persistence docs to .ck/* model,README.md; docs/ARCHITECTURE.md; docs/RUNBOOK.md; docs/DISASTER_RECOVERY.md; docs/ROLLBACK.md; .gitignore
P1,Publish operational packages,packages/command-engine/; packages/agents/; packages/gates/; packages/security/; packages/tools/
P1,Expose governed execution flow publicly,packages/orchestrator/src/*; apps/cli/src/index.ts; examples/*; scripts/*
P2,Add diff preview engine,packages/orchestrator/src/diff-preview.ts; packages/command-engine/src/handlers/diff.ts
P2,Add provenance and signing,packages/security/src/batch-provenance.ts; packages/security/src/batch-signing.ts; packages/command-engine/src/handlers/verify-batch.ts
P2,Strengthen rollback with backups/restores,packages/orchestrator/src/file-backup.ts; packages/orchestrator/src/restore-engine.ts
P2,Add run ledger/event stream,packages/core/src/run-ledger.ts
P3,Refresh roadmap and examples,ROADMAP.md; README.md; examples/ck-run-quickstart/; examples/approval-flow/; examples/preview-and-queue/; examples/rollback-demo/; examples/expert-mode/
